Designator,Mid X,Mid Y,Rotation,Layer
C1,208.5,-79.5,270.0,bottom
C10,175.0,-97.0,0.0,top
C11,175.0,-101.0,0.0,top
C12,175.0,-105.0,0.0,top
C13,175.0,-109.0,0.0,top
C14,236.35,-87.175,0.0,bottom
C15,245.35,-87.175,0.0,bottom
C17,159.0,-63.0,90.0,bottom
C2,174.0,-86.0,180.0,top
C3,174.0,-81.0,180.0,top
C4,166.0,-81.0,0.0,top
C5,166.0,-86.0,0.0,top
C6,202.0,-60.5,0.0,bottom
C7,176.0,-61.0,0.0,bottom
C8,170.0,-101.0,0.0,top
C9,170.0,-109.0,0.0,top
D1,201.0,-98.19,270.0,bottom
J1,212.0,-94.0,180.0,bottom
J2,155.6,-96.4375,90.0,bottom
K1,187.0504,-98.0,90.0,bottom
Q1,183.0,-98.0,180.0,top
Q2,197.0,-84.0,180.0,bottom
R1,212.475,-75.46,180.0,bottom
R10,199.25,-70.5,270.0,bottom
R11,213.475,-65.46,270.0,bottom
R12,209.475,-60.46,180.0,bottom
R13,213.475,-70.46,270.0,bottom
R14,235.35,-79.175,180.0,bottom
R15,240.35,-79.175,180.0,bottom
R16,245.35,-79.175,180.0,bottom
R2,183.7338,-82.1148,0.0,bottom
R3,174.0,-68.0,270.0,bottom
R4,182.0,-59.0,180.0,bottom
R5,189.0,-67.0,90.0,bottom
R6,186.0,-59.0,180.0,bottom
R7,235.35,-74.175,180.0,bottom
R8,240.35,-74.175,180.0,bottom
R9,245.35,-74.175,180.0,bottom
RV1,226.445,-97.0,0.0,top
SW1,238.4,-63.1,90.0,top
SW2,238.4,-77.6,90.0,top
SW3,238.4,-92.1,90.0,top
U1,181.475,-68.27,270.0,bottom
U2,170.0,-82.0,0.0,bottom
U3,241.0,-97.0,270.0,bottom
U4,206.0,-68.0,270.0,bottom
U5,191.8575,-70.56,0.0,top
U6,170.27,-97.36,180.0,bottom
U7,170.27,-105.36,180.0,bottom
